85 19
106  52  101  213  64  11  201  33  23  158  214  607  204  65  2  4  192  204  1
103  57  105  221  69  11  218  30  24  173  226  706  250  73  10  2  187  195  3
86  42  64  122  54  6  148  46  19  143  170  319  171  87  1  3  179  182  2
94  43  82  136  54  10  155  43  19  149  176  359  161  74  1  6  186  197  0
93  35  78  162  60  8  150  45  19  125  172  331  137  67  2  33  191  198  3
76  38  58  125  58  5  133  51  18  127  152  259  145  87  0  21  177  184  3
89  36  69  162  63  6  140  48  18  131  164  291  126  66  1  38  193  204  1
90  43  81  231  97  46  150  45  19  149  200  332  164  91  5  9  186  196  0
105  52  107  207  60  11  218  31  24  167  221  701  197  66  0  20  191  203  3
92  45  76  162  57  7  159  41  20  147  184  381  177  69  8  10  190  195  1
88  48  90  178  60  8  175  38  21  152  200  460  198  68  13  16  192  199  1
93  39  86  180  59  9  167  39  20  134  186  418  129  63  6  17  197  204  1
79  39  72  127  53  9  142  48  19  135  165  295  144  77  7  21  181  189  3
87  49  86  190  64  9  177  37  21  153  197  471  209  67  11  7  192  199  3
101  56  101  231  72  10  217  31  24  171  232  698  216  72  2  6  187  197  1
98  35  70  182  68  5  155  41  19  124  184  371  117  71  3  22  202  205  2
108  54  103  212  65  11  208  32  24  162  228  648  240  71  9  0  189  197  1
89  50  83  195  65  6  178  37  21  156  207  481  210  71  1  6  189  194  3
100  51  109  231  70  11  220  30  25  163  238  722  206  73  11  19  189  198  3
97  53  105  225  71  12  221  30  25  167  226  713  202  70  3  20  186  200  1
103  56  105  183  59  10  210  32  24  173  217  648  218  72  13  22  188  196  3
90  49  85  141  57  11  159  43  20  167  173  365  186  75  1  11  182  192  0
97  55  96  170  54  10  216  31  24  173  219  685  218  75  0  4  184  193  3
96  40  100  178  58  8  181  37  21  134  205  486  160  68  5  34  192  202  1
104  53  101  190  63  10  213  32  24  166  218  664  202  74  13  21  188  198  1
84  43  76  180  75  7  155  43  19  143  180  359  173  77  5  12  185  190  2
89  45  85  149  59  11  158  43  20  158  177  362  173  75  12  16  183  193  0
95  51  96  196  63  9  190  35  22  161  208  543  235  68  13  0  191  198  3
90  46  73  137  58  11  161  43  20  158  170  373  186  76  0  9  182  193  0
92  41  66  125  52  7  139  50  18  143  160  275  161  81  7  19  182  184  0
92  35  58  136  58  6  122  55  17  132  142  222  116  64  6  17  197  203  0
94  49  82  137  56  10  159  43  20  160  176  367  186  76  10  7  183  192  0
94  45  85  160  63  10  158  43  20  157  174  367  162  68  1  6  189  199  0
103  52  103  170  52  7  236  28  26  160  254  816  250  82  3  23  183  184  2
91  42  66  142  58  9  134  50  18  142  163  268  164  69  6  5  191  197  0
85  36  51  115  56  5  119  57  17  124  139  207  127  81  13  5  181  184  0
100  36  73  199  73  6  162  40  20  127  189  401  125  72  6  19  200  204  2
91  36  72  162  60  8  150  44  19  133  166  334  121  63  2  22  196  205  1
91  41  64  148  61  8  129  51  18  142  161  249  153  68  6  12  194  201  0
91  36  83  162  61  8  142  47  19  128  163  298  137  63  0  31  193  200  1
93  37  70  126  52  9  127  53  18  137  156  238  119  71  2  13  191  190  0
98  46  88  191  63  6  192  34  22  147  215  563  174  73  2  26  194  197  2
104  53  108  204  64  11  220  31  25  172  226  707  203  71  14  30  189  203  1
93  42  98  192  63  9  185  36  22  138  206  508  173  70  10  21  189  197  1
104  56  96  231  74  11  220  30  25  172  223  713  218  73  6  16  186  195  3
89  42  66  125  53  7  131  51  18  144  162  254  162  73  10  17  188  191  0
87  45  66  139  58  8  140  47  18  148  168  294  175  73  3  12  188  196  0
